CardName,1999-07,2000-02,2000-05,2000-07,2000-08,2000-11,2001-01,2001-05,2002-01,2002-05,2003-01,2003-04,2003-07,2003-10,2004-03,2004-09,2005-03,2005-09,2006-03,2006-09,2007-03,2007-09,2008-03,2008-09,2009-03,2009-09,2010-03,2010-09
Performapal Monkeyboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performapal Pendulum Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performapal Skullcrobat Joker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Spoofing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pestilence,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Phantom of Chaos,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,3,3
Phantom of Yubel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenixian Cluster Amaryllis,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3
Plaguespreader Zombie,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1
Pot of Avarice,,,,,,,,,,,,,,,,,,3,1,1,1,2,3,3,3,3,3,3
Pot of Desires,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pot of Duality,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Pot of Extravagance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pot of Greed,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Pot of Prosperity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prank-Kids Meow-Meow-Mu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predaplant Ophrys Scorpio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predaplant Verte Anaconda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premature Burial,,,,,,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Preparation of Rites,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
Pressured Planet Wraitsoth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Seed,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Primeval Planet Perlereino,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protector of the Sanctuary,,,,,,,,,,,,,,,3,1,1,1,1,1,1,3,3,3,3,3,3,3
PSY-Framegear Gamma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY-Framelord Omega,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purrely Delicious Memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purrely Sleepy Memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qliphort Scout,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raigeki,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raiza the Storm Monarch,,,,,,,,,,,,,,,,,,,,,3,3,1,1,2,3,3,3
"Reactan, Dragon Ruler of Pebbles",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reasoning,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1
Reborn Tengu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reckless Greed,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3
Red Gadget,,,,,,,,,,,,,,,,3,3,3,3,3,3,2,3,3,3,3,3,3
Red Reboot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-Eyes Dark Dragoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-Eyes Darkness Metal Dragon,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3
Red-Eyes Fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Redox, Dragon Ruler of Boulders",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reflect Bounder,,,,,,,,,,,3,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3
Reinforcement of the Army,,,,,,,,,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1
Rescue Cat,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,2,2,1,1,0
Rescue Rabbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rescue-ACE Air Lifter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return from the Different Dimension,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,1,1,1,1,1
Right Arm of the Forbidden One,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Right Leg of the Forbidden One,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ring of Destruction,,,,,,,2,2,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Riryoku,,,,,,,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Rite of Aramesir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivalry of Warlords,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Royal Decree,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3
Royal Oppression,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
Royal Tribute,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Runick Fountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S:P Little Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacred Phoenix of Nephthys,,,,,,,,,,,,,,,,,1,1,1,1,3,3,3,3,3,3,3,3
Sacred Sword of Seven Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamangreat Circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamangreat Gazelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sangan,,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Sangen Summoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saqlifice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saryuja Skull Dread,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scapegoat,,,,,,,,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1
"Scarm, Malebranche of the Burning Abyss",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senju of the Thousand Hands,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Set Rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shien's Smoke Signal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shurit, Strategist of the Nekroz",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinister Serpent,,,,3,3,1,1,1,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Sinister Shadow Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sixth Sense,,,,,,,,,,,,,,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Skill Drain,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
Sky Striker Ace - Kagari,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Striker Mecha - Hornet Drones,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Striker Mecha - Widow Anchor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Striker Mecha Modules - Multirole,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Striker Mobilize - Engage!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slate Warrior,,,,,,,,,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Smashing Ground,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,1,1,1,1,1,3,3
Smoke Grenade of the Thief,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Snake-Eye Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snake-Eyes Poplar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snatch Steal,,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
Snipe Hunter,,,,,,,,,,,,,,,,,,,,3,3,1,1,1,1,1,1,2
Solemn Judgment,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
Solemn Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solemn Warning,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Soul Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Souleating Oviraptor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedroid Terrortop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spellbook of Judgment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spellbook of Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spellbook of Secrets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit Reaper,,,,,,,,,,,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
Spore,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
Spright Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spright Elf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spright Jet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spright Starter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPYRAL GEAR - Drone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPYRAL Quik-Fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPYRAL Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Seraph Sovereignty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stream, Dragon Ruler of Droplets",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Substitoad,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,0
Summon Limit,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3
Summon Sorceress,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summoner Monk,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,1,1,1
Super Polymerization,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3
Super Rejuvenation,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3
Superheavy Samurai Motorbike,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superheavy Samurai Soulbreaker Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superheavy Samurai Soulpiercer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supreme King Dragon Darkwurm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swap Frog,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
Swords of Revealing Light,3,3,3,3,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Swordsoul Emergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Heritage,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3
T.G. Hyper Librarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.G. Striker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tearlaments Havnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tearlaments Kashtira,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tearlaments Kitkallos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tearlaments Merrli,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tearlaments Reinoheart,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tearlaments Scheiren,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tellarknight Ptolemaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempest Magician,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
"Tempest, Dragon Ruler of Storms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temple of the Kings,,,,,,,,,3,3,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0
Tenpai Dragon Chundra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terraforming,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
That Grass Looks Greener,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Agent of Mystery - Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bystial Lubellion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Beginning of the End,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3
The Forceful Sentry,,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Phantom Knights of Torn Scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Transmigration Prophecy,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,1,1,1
The Tyrant Neptune,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
There Can Be Only One,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousand-Eyes Restrict,,,,,,,3,3,3,3,3,3,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0
Thunder Dragon Colossus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunder Dragonhawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunder Dragonroar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunder King Rai-Oh,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3
"Tidal, Dragon Ruler of Waterfalls",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Seal,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
Toadally Awesome,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toon Cannon Soldier,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Topologic Gumblar Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torrential Tribute,,,,,,,,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1
Tour Guide From the Underworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tragoedia,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,1
Trap Dustshoot,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1
Trap Hole,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Treeborn Frog,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,3
Tri-Brigade Fraktall,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribe-Infecting Virus,,,,,,,,,,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Trickstar Candina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trickstar Light Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trickstar Reincarnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trishula, Dragon of the Ice Barrier",,,,,,,,,,,,,,,,,,,,,,,,,,,3,1
True Draco Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True King of All Calamities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True King's Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsukuyomi,,,,,,,,,,,,3,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0
Twin-Headed Behemoth,,,,,,,,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3
Ultimate Offering,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,2,2,2
Union Carrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union Hangar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United We Stand,,,,,,,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,3
Upstart Goblin,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3
Vampire Lord,,,,,,,,,,3,3,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3
Vanity's Emptiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Victory Dragon,,,,,,,,,,,,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0
Wall of Revealing Light,,,,,,,,,,,,,,,3,3,3,3,3,2,2,1,1,1,1,1,1,1
Wandering Gryphon Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WANTED: Seeker of Sinful Spoils,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Enchantress of the Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavering Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Dragon Wyverburster,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind-Up Carrier Zenmaity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind-Up Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind-Up Magician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind-Up Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windwitch - Ice Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisdom-Eye Magician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Witch of the Black Forest,,3,3,3,3,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yata-Garasu,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow Gadget,,,,,,,,,,,,,,,,3,3,3,3,3,3,2,3,3,3,3,3,3
Zoodiac Barrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoodiac Broadbull,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoodiac Drident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoodiac Ratpier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
